vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.004076,0.510000,-0.011674,0.014166,-0.028903,1.444515,3.011647,0.472283
0.400000,0.020000,0.000000,-0.007524,0.520000,-0.243345,0.056471,1.389942,1.445153,3.016786,0.487404
0.202030,0.055651,1.369286,-0.018794,0.530000,-0.053358,-0.001533,-0.068384,1.446684,3.015588,0.489245
0.195328,0.000405,0.018762,-0.025493,0.540000,-0.031767,0.000254,0.006215,1.448872,3.014451,0.489245
0.211913,-0.002204,-0.058412,-0.030490,0.550000,-0.010868,0.000146,0.004328,1.452039,3.012843,0.489245
0.250491,-0.003025,-0.079561,-0.033690,0.560000,-0.020916,0.000289,0.008256,1.455156,3.011556,0.489245
0.279915,-0.003715,-0.098149,-0.035801,0.570000,-0.013323,0.000202,0.005907,1.459575,3.011107,0.491229
0.317905,-0.004455,-0.118351,-0.037078,0.580000,-0.021565,0.000306,0.008864,1.465069,3.010409,0.496566
0.348570,-0.005042,-0.134612,-0.038116,0.590000,-0.005785,0.000096,0.002978,1.472236,3.009409,0.503667
0.395953,-0.005826,-0.156749,-0.038262,0.600000,-0.008699,0.000115,0.003470,1.479972,3.009197,0.512173
0.441274,-0.006470,-0.175748,-0.038040,0.610000,-0.000407,-0.000003,-0.000140,1.488521,3.009130,0.522182
0.495729,-0.007137,-0.196193,-0.036904,0.620000,-0.001261,-0.000027,-0.001045,1.497525,3.010369,0.533739
0.550127,-0.007609,-0.212341,-0.035307,0.630000,-0.004078,-0.000023,-0.000904,1.509730,3.014048,0.546305
0.602470,-0.007876,-0.223300,-0.035148,0.640000,-0.014385,0.000130,0.004719,1.517072,3.010680,0.560124
0.645264,-0.008184,-0.233882,-0.032616,0.650000,-0.009864,-0.000040,-0.001182,1.527533,3.010021,0.573500
0.693348,-0.008182,-0.239155,-0.029631,0.660000,-0.003730,-0.000129,-0.004457,1.541163,3.009636,0.585822
